Authors,In Graph Label,Code,Title,Year,Source title,Volume,Issue,Page start,Page end,Page count,Cited by,Link,Abstract,Inclusion?,Author Keywords,Column1
Brough A.R.| Wilkie J.E.B.| Ma J.| Isaac M.S.| Gal D.,Brough| Wilkie| Isaac & Gal (2016),BWMIG_16,The green-feminine stereotype and its effect on sustainable consumption,2016,Journal of Consumer Research,43,4,567,582,15,237,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014725743&doi=10.1093%2fjcr%2fucw044&partnerID=40&md5=e0a1b5d57390bea9e2d02192eb60803a,Why are men less likely than women to embrace environmentally friendly products and behaviors? Whereas prior research attributes this gender gap in sustainable consumption to personality differences between the sexes| we propose that it may also partially stem from a prevalent association between green behavior and femininity| and a corresponding stereotype (held by both men and women) that green consumers are more feminine. Building on prior findings that men tend to be more concerned than women with gender-identity maintenance| we argue that this green-feminine stereotype may motivate men to avoid green behaviors in order to preserve a macho image. A series of seven studies provides evidence that the concepts of greenness and femininity are cognitively linked and shows that| accordingly| consumers who engage in green behaviors are stereotyped by others as more feminine and even perceive themselves as more feminine. Further| men's willingness to engage in green behaviors can be influenced by threatening or affirming their masculinity| as well as by using masculine rather than conventional green branding. Together| these findings bridge literatures on identity and environmental sustainability and introduce the notion that due to the green-feminine stereotype| gender identity maintenance can influence men's likelihood of adopting green behaviors. © 2016. Oxford University. All rights reserved.,1,Environmental sustainability; Gender identity maintenance; Green marketing; Motivated consumption; Stereotypes,
Chernev A.| Blair S.,Chernev & Blair (2021),CB_21,When Sustainability is Not a Liability: The Halo Effect of Marketplace Morality,2021,Journal of Consumer Psychology,31,3,551,569,18,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092490083&doi=10.1002%2fjcpy.1195&partnerID=40&md5=63f8095f411ea67b5d16379e3fa0045e,Prior research has suggested that consumers believe that products made using sustainable| environmentally friendly technologies are likely to underperform those made using traditional methods. We question the robustness of this assumption and identify scenarios in which sustainability is likely to have the opposite effect| strengthening rather than weakening consumers' product performance beliefs. Specifically| we argue that sustainability is likely to produce a halo effect able to attenuate and even override the negative impact of compensatory inferences underlying consumers' belief that sustainability comes at the expense of performance. We propose that this halo effect stems from consumers' view of the company as a moral agent engaged in a prosocial behavior. In this context| we identify two factors that are likely to influence the strength of the halo effect: the degree to which consumers view the company as a moral agent whose actions aim to benefit society and the degree to which moral concerns are prominent in consumers' minds. Following this line of reasoning| we identify two ways in which managers can increase the perceived performance of sustainable products: by associating sustainable benefits with the company rather than with its products and by emphasizing the societal benefits of sustainability. We test these predictions in a series of four empirical studies that show convergent evidence for our theorizing. Our findings have important public policy implications| documenting actionable strategies that managers can use to mitigate the potential negative impact of sustainability and strengthen the perceived performance of sustainable products. © 2020 Society for Consumer Psychology,1,Corporate social responsibility; Green marketing; Inferences; Sustainable behavior,
Chen Y.| Ghosh M.| Liu Y.| Zhao L.,Chen| Ghosh| Liu & Zhao (2019),CGLZ_19,Media Coverage of Climate Change and Sustainable Product Consumption: Evidence from the Hybrid Vehicle Market,2019,Journal of Marketing Research,56,6,995,1011,16,24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078605800&doi=10.1177%2f0022243719865898&partnerID=40&md5=64756c262a35811f6de9047ae20a7051,As sustainable consumption becomes increasingly important| firms must better understand the drivers behind the consumption of these products. This article examines the effects of mass media in the context of the U.S. hybrid vehicle market. Drawing on monthly sales data| the authors provide evidence that the general coverage of climate change or global warming by major media outlets exerts an overall positive impact on the sales of hybrid vehicles. This impact mainly comes from the media reports that assert that climate change is occurring. In contrast| media coverage that either denies climate change or holds a neutral stance on the issue has little impact. The authors provide preliminary evidence that a social norm advocating for environmentally friendly consumption plays an important role in how media coverage affects consumer purchase. They provide implications for theory and practice and call for future research that examines the causal impact of media in general on consumer decisions| especially in domains that are crucial for the society. © American Marketing Association 2019.,1,climate change; global warming; hybrid vehicle; media; social marketing; sustainability,
Catlin J.R.| Wang Y.,Caitlin & Wang (2013),CW_13,Recycling gone bad: When the option to recycle increases resource consumption,2013,Journal of Consumer Psychology,23,1,122,127,5,109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871017285&doi=10.1016%2fj.jcps.2012.04.001&partnerID=40&md5=c27e954c24a3d7977550e665edd0f9f0,In this study| we propose that the ability to recycle may lead to increased resource usage compared to when a recycling option is not available. Supporting this hypothesis| our first experiment shows that consumers used more paper while evaluating a pair of scissors when the option to recycle was provided (vs. not provided). In a follow-up field experiment| we find that the per person restroom paper hand towel usage increased after the introduction of a recycling bin compared to when a recycling option was not available. We conclude by discussing implications for research and policy. © 2012 Society for Consumer Psychology.,1,Consumption; Field experiment; Recycling; Sustainability,
Edinger-Schons L.M.| Sipilä J.| Sen S.| Mende G.| Wieseke J.,Erdinger-Schons| Sipiliä| Sen| Mende & Wieseke (2018),ESSMW_18,Are Two Reasons Better Than One? The Role of Appeal Type in Consumer Responses to Sustainable Products,2018,Journal of Consumer Psychology,28,4,644,664,20,41,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054195630&doi=10.1002%2fjcpy.1032&partnerID=40&md5=8c78d531686124fe2168af4f58eb08e2,In the face of the growing prevalence of multiple appeals to sustainable consumption in marketers’ sustainable product communications| we examine the efficacy| in terms of consumer reactions| of adding an extrinsic appeal (e.g.| “Purchase this green product to save money!”) to an intrinsic appeal (e.g.| “Purchase this green product to save the environment!”) based communication for a sustainable product. Three studies provide support for our basic assertion that| compared to an intrinsic appeal| joint appeals (i.e.| an intrinsic and extrinsic appeal together) reduce consumer preference for sustainable products. As well| these studies demonstrate that this adverse effect of joint appeals is based on a lowering of consumers’ attributions of the company's sustainability efforts to intrinsic motives (e.g.| to the company's genuine concern for the environment). Finally| not all consumers react adversely to joint appeals; relative to intrinsic appeals| such appeals increase| rather than decrease| the intrinsic attributions and sustainable product preferences for consumers with lower involvement with sustainable consumption. © 2018 Society for Consumer Psychology,1,Intrinsic attributions; Message appeals; Sustainable consumption involvement; Sustainable products,
Friske W.| Hoelscher S.A.| Nikolov A.N.,Friske| Hoelscher & Nikolov (2022),FHN_22,The impact of voluntary sustainability reporting on firm value: Insights from signaling theory,2022,Journal of the Academy of Marketing Science,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132112389&doi=10.1007%2fs11747-022-00879-2&partnerID=40&md5=f95a8f56558c5718ee07e67db347ecd9,The purpose of this study is to examine the relationship between voluntary sustainability reporting and firm value| as measured by Tobin’s q. We test three main hypotheses developed from signaling theory and the sustainability reporting literature on a large panel of reporting and non-reporting organizations for the period 2011–2020. The results of a fixed effects panel model suggest that| in general| sustainability reporting is negatively related to Tobin’s q. However| the results also indicate that the relationship between sustainability reporting and Tobin’s q becomes increasingly positive over time. Our conclusion is that sustainability reporting is initially a costly signal| but that it eventually enhances firm value as companies learn how to better communicate sustainability initiatives to stakeholders and investors learn how to properly evaluate reports. Finally| in an analysis of sustainability reporting organizations| we find that external assurance is positively associated with Tobin’s q. External audits appear to increase the credibility of reports. Implications for marketing theory and practice are discussed. © 2022| Academy of Marketing Science.,1,Firm value; Signaling theory; Sustainability; Sustainability reporting; Tobin’s q,Sustainability reporting?
Giebelhausen M.| Chun H.H.| Cronin J.J.| Jr.| Hult G.T.M.,Giebelhausen| Chun| Cronin & Hult (2016),GCCH_16,Adjusting the warm-glow thermostat: How incentivizing participation in voluntary green programs moderates their impact on service satisfaction,2016,Journal of Marketing,80,4,56,71,15,66,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978036844&doi=10.1509%2fjm.14.0497&partnerID=40&md5=e73a18511ccae69b10c7c93881b8545d,"In Study 1| the authors find that people are more satisfied with a service experience when they choose to participate in the provider's voluntary green program (e.g.| recycling)-an effect mediated by the ""warm glow"" of participation. The downside| however| is that this same mechanism decreases satisfaction among people who choose not to participate. In Study 2| analysis of data from the J.D. PowerGuest Satisfaction Index suggests that incentivizing the program (i.e.| compensating the program participants) paradoxically increases satisfaction for those who do not participate but decreases satisfaction among those who do. Studies 3 and 4 explore how manipulating incentive characteristics might enable managers to maximize satisfaction for both groups. Study 3 indicates that| compared with no incentive| an ""other-benefiting"" incentive increases warm glow and satisfaction for green program participants but decreases them among nonparticipants. Study 4| however| suggests that mixed incentive bundles (i.e.| providing both self-benefiting and other-benefiting options)maximize warm glow and satisfaction for both groups-the ideal outcome for managers. © 2016| American Marketing Association.",1,Green marketing; Services marketing; Social norms; Sustainability; Warm glow,
Gielens K.| Geyskens I.| Deleersnyder B.| Nohe M.,Gielens| Geyskens| Deleersnyder & Nohe (2018),GGDN_18,The new regulator in town: The effect of walmart's sustainability mandate on supplier shareholder value,2018,Journal of Marketing,82,2,124,141,17,36,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045926305&doi=10.1509%2fjm.16.0276&partnerID=40&md5=af14748bd974ba51818b1e429c3d82e4,Suppliers are increasingly being forced by dominant retailers to clean up their supply chains. These retailers argue that their sustainability mandates may translate into profits for suppliers| but many suppliers are cynical about these mandates because the onus to undertake the required investments is on them while potential gains may be usurped by the mandating retailer. We examine whether supplier fears are justified by studying the impact of Walmart's sustainability mandate on its suppliers' (short-term) shareholder value. Although about two-thirds of suppliers are indeed financially harmed| approximately one-third benefit. To delve deeper into this variation| we relate suppliers' short-term abnormal returns to Walmart's appropriation power and explore whether and to what extent a supplier's referent and expert power sources| derived from its marketing and operational characteristics| respectively| can counteract Walmart's appropriation attempts. We find that the supplier's marketing characteristics (its environmental reputation| brand equity| and advertising) provide it with the countervailing power needed to resist Walmart's appropriation attempts. In contrast| cost-efficient suppliers and suppliers that invest heavily in R&D have more difficulty withstanding Walmart's squeeze attempts. © 2018| American Marketing Association.,1,Financial event study; Power dependence; Retailing; Sustainability; Walmart,
Gonzalez-Arcos C.| Joubert A.M.| Scaraboto D.| Guesalaga R.| Sandberg J.,Gonzalez-Arcos| Joubert| Scaraboto| Guasalaga & Sandberg (2021),GJSGS_21,“How Do I Carry All This Now?” Understanding Consumer Resistance to Sustainability Interventions,2021,Journal of Marketing,85,3,44,61,17,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104450017&doi=10.1177%2f0022242921992052&partnerID=40&md5=03cf34c37f2398a7bda67c471665a8d7,Given the increasingly grave environmental crisis| governments and organizations frequently initiate sustainability interventions to encourage sustainable behavior in individual consumers. However| prevalent behavioral approaches to sustainability interventions often have the unintended consequence of generating consumer resistance| undermining their effectiveness. With a practice–theoretical perspective| the authors investigate what generates consumer resistance and how it can be reduced| using consumer responses to a nationwide ban on plastic bags in Chile in 2019. The findings show that consumer resistance to sustainability interventions emerges not primarily because consumers are unwilling to change their individual behavior—as the existing literature commonly assumes—but because the individual behaviors being targeted are embedded in dynamic social practices. When sustainability interventions aim to change individual behaviors rather than social practices| they place excessive responsibility on consumers| unsettle their practice-related emotionality| and destabilize the multiple practices that interconnect to shape consumers’ lives| ultimately leading to resistance. The authors propose a theory of consumer resistance in social practice change that explains consumer resistance to sustainability interventions and ways of reducing it. They also offer recommendations for policy makers and social marketers in designing and managing sustainability initiatives that trigger less consumer resistance and thereby foster sustainable consumer behavior. © American Marketing Association 2021.,1,consumer resistance; practice theory; social change; sustainability intervention; sustainable consumer behavior,
Godfrey D.M.| Price L.L.| Lusch R.F.,Godfrey| Price & Lusch (2022),GPL_22,Repair| Consumption| and Sustainability: Fixing Fragile Objects and Maintaining Consumer Practices,2022,Journal of Consumer Research,49,2,229,251,22,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136457179&doi=10.1093%2fjcr%2fucab067&partnerID=40&md5=83e7cc14c07319740daadf19af90c978,Repair is an overlooked but important aspect of consumer behavior with implications for the social and environmental sustainability of consumption. This ethnographic study examines the interplay of repair and consumption by analyzing when and how consumers repair the objects they use. The analysis examines how conflicting and complementary practice elements can lead to object replacement and disposal or| alternatively| facilitate object repair and extended use. Results unfold how consumers calibrate their routine activities around the continually changing material capacities of objects. Consumers engage in repair as a response to worn or damaged objects that misalign from and often disrupt ongoing practices. Repairers| including consumers and professional service providers| attempt to adjust object capacities in ways that realign disrupted practices with the routinized ways that consumers do them. When successful| repair sustains consumer practices by avoiding prolonged disruption and unnecessary waste. However| conflicts between production| consumption| and repair can hinder the efficacy of repair interventions and shape whether and how consumers repair the objects they use. The article explains these challenges and concludes by discussing their implications for studies of repair| consumer practices| and sustainable consumption. © 2021 The Author(s). Published by Oxford University Press on behalf of Journal of Consumer Research| Inc. All rights reserved.,1,material objects; practice theory; repair; services marketing; sustainable consumption,
