Authors	Code	Title	Method	Decision	Year	Abstract	Source title	DOI	Overlap	Term	Link
Abadie A.; Chowdhury S.; Mangla S.K.; Malik S.	ACMM_2024	Impact of carbon offset perceptions on greenwashing: Revealing intentions and strategies through an experimental approach	Experiments	Yes	2024	Organizations operating in the Business-to-Business (B2B) ecosystem across the globe are committed to net zero initiatives to achieve sustainability across business processes. In this context, carbon carbon credits have emerged as a carbon offsetting mechanism to help organizations invest in low-carbon initiatives. However, existing studies are yet to examine whether carbon offsetting practices will influence the sustainability behavior of B2B organizations and whether it could lead to greenwashing propensity. In this vein, we adopt agency and revealed pereferences theories to conduct two experiments with B2B small and medium-sized enterprises (SMEs) managers operating in the UK process intensive sectors to reveal that affordability of carbon credits can motivate managers to engage in sustainable attitudes and practices. We also found that organizations willing to buy carbon credits at high price to are likely to engage in high greenwashing propensity. Considering these novel findings, we provide recommendations that will help organizations to become more responsible in their carbon offesteing investments, and for policy makers to adopt stringent assessment of such investments and carbon disclosures made by firms. © 2024 Elsevier Inc.	Industrial Marketing Management	10.1016/j.indmarman.2024.01.001	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183614950&doi=10.1016%2fj.indmarman.2024.01.001&partnerID=40&md5=126207d9d72434a11e3ef9621d0c2cf3
Amatulli C.; De Angelis M.; Donato C.	ADD_2021	The atypicality of sustainable luxury products	Experiments	Yes	2021	This study tackles the issue of how consumers might perceive luxury products' sustainability-focused communication. We compare consumers' reactions when luxury brands communicate their focus on either product sustainability or product excellence (i.e., a sustainability- vs. excellence-focused communication strategy, respectively). We predict that consumers perceive the former as more atypical for a luxury brand, which renders the communication more effective at enhancing consumers' willingness to buy the brand's products. Across six experiments, we demonstrate that perceived atypicality mediates the effect of luxury product communication strategy on consumers' willingness to buy; that perceived atypicality increases willingness to buy by increasing consumers' perception about the uniqueness of the communication strategy; that the effect of perceived atypicality is stronger for consumers with a higher chronic need for uniqueness; and that the greater effectiveness of a sustainability-focused communication strategy on atypicality and willingness to buy is peculiar to luxury products (i.e., it does not manifest for mass-market products). From a managerial perspective, our findings demonstrate that luxury brands may innovate their communication strategies by leveraging sustainability rather than product excellence. © 2021 The Authors. Psychology & Marketing Published by Wiley Periodicals LLC	Psychology and Marketing	10.1002/mar.21559	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111479185&doi=10.1002%2fmar.21559&partnerID=40&md5=afd406f5e2b29879421386f8a2329447
Amatulli C.; De Angelis M.; Pino G.; Guido G.	ADPG_2020	An investigation of unsustainable luxury: How guilt drives negative word-of-mouth	Experiments	Yes	2020	This research investigates consumers' reactions to luxury versus mass-market fashion products that are produced in an unsustainable manner. In particular, this research empirically assesses whether and why third-party information revealing the unsustainable nature of luxury versus mass-market fashion products may increase consumers' intention to engage in negative word-of-mouth about the manufacturing company. The results of four experiments demonstrate that, when confronted with information revealing that a purchased luxury fashion product has been produced in an environmentally or socially unsustainable manner, consumers experience a higher sense of guilt over that product, compared to a purchased mass-market fashion product, due to their lower expectations about luxury fashion products' unsustainability. Guilt, in turn, drives consumers' intention to generate negative word-of-mouth about the producer and such an effect is more pronounced among consumers with a higher versus lower individualistic orientation. © 2020 Elsevier B.V.	International Journal of Research in Marketing	10.1016/j.ijresmar.2020.03.005	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083153942&doi=10.1016%2fj.ijresmar.2020.03.005&partnerID=40&md5=cf2ca6cc45cc0d655aa51a8edc04e83a
Amatulli C.; De Angelis M.; Pino G.; Jain S.	ADPJ_2021	Consumer reactions to unsustainable luxury: a cross-country analysis	Experiments	Yes	2021	Purpose: This paper investigates why and when messages regarding unsustainable luxury products lead to negative word-of-mouth (NWOM) through a focus on the role of guilt, need to warn others and consumers' cultural orientation. Design/methodology/approach: Three experiments test whether messages describing unsustainable versus sustainable luxury manufacturing processes elicit guilt and a need to warn others and whether and how the need to warn others affects consumers' NWOM depending on their cultural orientation. Findings: Consumers experience guilt in response to messages emphasizing the unsustainable (vs sustainable) nature of luxury products. In turn, guilt triggers a need to warn other consumers, which leads to NWOM about the luxury company. Furthermore, the results suggest that two dimensions of Hofstede's model of national culture – namely individualism/collectivism and masculinity/femininity – moderate the effect of the need to warn others on NWOM. Practical implications: Luxury managers should design appropriate strategies to cope with consumers' different reactions to information regarding luxury brands' unsustainability. Managers should be aware that the risk of NWOM diffusion may be higher in countries characterized by a collectivistic and feminine orientation rather than an individualistic and masculine orientation. Originality/value: Consumer reaction to unsustainable luxury, especially across different cultural groups, is a neglected area of investigation. This work contributes to this novel area of research by investigating NWOM stemming from unsustainable luxury manufacturing practices in different cultural contexts. © 2020, Emerald Publishing Limited.	International Marketing Review	10.1108/IMR-05-2019-0126	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097896734&doi=10.1108%2fIMR-05-2019-0126&partnerID=40&md5=a8efa282193c99538d15cf0b233d61d7
Acuti D.; Lemarie L.; Viglia G.	ALV_2023	The impact of communication and proximity on citizens’ sustainable disposal of e-waste	Field Experiment	Yes	2023	Purpose: The purpose of this study is to demonstrate how decision-makers can enhance citizens’ sustainable disposal of e-waste through bin proximity and ad hoc communication. Specifically, the authors discuss a two-year research project that took place in Northern Italy, where the authors documented the number of products disposed of sustainably in four towns. Design/methodology/approach: The project involved five main groups of stakeholders: i) four municipalities, ii) one social purpose organisation employing people with disabilities, (i.e. Andromeda), iii) one provider of bins (i.e. PubliCittà), iv) another social purpose organisation entity (i.e. Fondazione CRT) and v) the University of Portsmouth. After conducting three online pilot tests to confirm expectations of this study regarding how to enhance citizens’ sustainable disposal of e-waste, the authors have implemented the field pilot programme in a small municipality and successively in other three towns. Finally, the authors measured the impact of the programme on the actual recycling rate of citizens in the three target municipalities. Findings: The authors found that the positioning of drop-off bins in such a way as to reduce the distance from as many households as possible, along with the use of communication that facilitates the understanding of information related to sustainable disposal schemes, can improve the sustainable behaviour of citizens. The sustainable disposal of exhausted batteries after the intervention improved by 135% on average in the three municipalities that adopted the disposal scheme (Saluggia, San Benigno Canavese and Santhiá). The disposal rate of toners and electronics increased by 204.0% and 318.75% (San Benigno Canavese) and 138.7% and 85.4% (Santhiá), respectively. Research limitations/implications: The authors believe it would be cautious to consider potential differences in terms of recycling cultures and facilities before implementing the programme in other countries. Practical implications: The authors’ contribution shows decision-makers how to effectively design disposal schemes to enhance citizens' sustainable behaviour. The authors demonstrate how the thoughtful and responsible use of marketing levers can affect environmental sustainability and impact social development. Social implications: This paper has an actual impact on society by changing citizens’ behaviour, reducing harm to the environment and human well-being and supporting the inclusion of disadvantaged people in sustainability-oriented programmes. Originality/value: The structured and equitable engagement of scholars with multiple stakeholders can lead to the co-creation of societal value and knowledge and improve the well-being of multiple stakeholders. The collaboration between academics and practitioners enables the definition of effective strategies by observing the actual behaviour of individuals (i.e. citizens) and offers a direct and measurable impact on society. The involvement of social purpose organisations reinforces the shared primary aim of achieving measurable social and environmental impact. © 2023, Emerald Publishing Limited.	European Journal of Marketing	10.1108/EJM-06-2023-0454	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173477694&doi=10.1108%2fEJM-06-2023-0454&partnerID=40&md5=7114715f075219a11c6a8104d272eabf
Antonetti P.; Maklan S.	AM_2014	Exploring Postconsumption Guilt and Pride in the Context of Sustainability	Mixed Methods	Yes	2014	This research explores the feelings of guilt and pride experienced by consumers after a purchase decision that involves issues of environmental and social sustainability. Through a multi-method design, the authors examine key dimensions that influence the process of emotional appraisal, illustrate the characteristics of appraisals of guilt/pride and investigate the consequences that emotions have on future choices. In this exploratory research, when a purchase decision includes an ethical dilemma, consumers were found to express guilt or pride even when the purchase is not intentional, i.e. forced by circumstances. Moreover, the study explores how emotions experienced after decisions may have a positive influence on the future purchase of sustainable alternatives. Finally, the paper proposes a new model that describes the process of emotional appraisal and reports on a number of dimensions that were found to lead to guilt and pride. The insights presented extend knowledge of two key consumer emotions and present important implications for practitioners promoting ethical products. © 2014 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.20730	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905716696&doi=10.1002%2fmar.20730&partnerID=40&md5=a3213fc9be367d22e9d41fdf52829fd2
Brunneder J.; Dholakia U.	BD_2018	The self-creation effect: making a product supports its mindful consumption and the consumer’s well-being	Experiments	Yes	2018	Popular cultural movements such as Slow Food and the Maker Movement emphasize product self-creation―personally creating products, then consuming them, as a core value. We present the first research to examine how product self-creation affects the individual’s consumption experience of such products and their well-being. Seven field and lab studies provide evidence that when consumers self-create a product, they appreciate it to a greater degree, are likely to consume it more mindfully, and experience greater domain-specific and general well-being. The individual’s private self-consciousness strengthens the effect. Self-creating products offers consumers with a practical, versatile, and personal interest-driven way to transcend their traditional role, to consume more consciously and sustainably, while concurrently enhancing the enjoyment of their consumption experience. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.	Marketing Letters	10.1007/s11002-018-9465-6	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051243228&doi=10.1007%2fs11002-018-9465-6&partnerID=40&md5=72464710a147a983ddbad29684724828
Bolton L.E.; Mattila A.S.	BM_2015	How does corporate social responsibility affect consumer response to service failure in buyer-seller relationships?	Experiments	Yes	2015	The researchers investigate how corporate social responsibility (CSR) affects customer response following service failure within the context of buyer-seller relationships. A series of three experiments demonstrate that CSR is more effective under communal (vs. exchange) relationship norms, consistent with the alignment of CSR with the communal norm of concern for the needs of others. The effectiveness of CSR is also shown to vary as a function of company motives and CSR framing, serving as theoretically and managerially relevant boundary conditions. Together, these findings increase our understanding of how and when CSR will have a positive impact on consumers and, in turn, companies via customer satisfaction and loyalty. © 2014 New York University.	Journal of Retailing	10.1016/j.jretai.2014.10.001	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921709987&doi=10.1016%2fj.jretai.2014.10.001&partnerID=40&md5=667539611dd32488aa0611513fd658d0
Bowen K.T.; Musarra G.; Ou Y.-C.	BMO_2022	How and when Narcissism and faith in humanity drive sustainable consumption	Experiments	Yes	2022	The aim of this study is to examine how and when narcissism and faith in humanity simultaneously influence product reuse. Despite its critical role in promoting sustainability, scholars have paid scant attention to product reuse as a reliable aspect of sustainable consumer behavior. Moreover, research on personality traits as drivers of sustainable consumption has mostly focused on the Big Five personality traits. We posit that the effects of consumers' narcissism and faith in humanity on product reuse are explained by social exclusion and are conditional on subjective norms. We test our hypotheses using two experiments and three cross-sectional surveys. We find that while narcissism has a negative effect on product reuse, faith in humanity has a positive effect on product reuse. We also observe that social exclusion mediates the effects of narcissism and faith in humanity, and that subjective norms positively moderate the relationships between narcissism and product reuse. This study highlights the importance of product reuse as a key indicator of sustainable consumption and offers novel insights into the how and when consumers engage in product reuse. © 2022 The Authors. Psychology & Marketing published by Wiley Periodicals LLC.	Psychology and Marketing	10.1002/mar.21694	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131211043&doi=10.1002%2fmar.21694&partnerID=40&md5=c61bc4b941ab6fa7dccdd793f2f15af4
Behl A.; Pereira V.; Jayawardena N.; Nigam A.; Mangla S.	BPJNM_2024	Gamification as an innovation: a tool to improve organizational marketing performance and sustainability of international firms	Field Survey	Yes	2024	Purpose: This study aims to investigate an under-researched area, an international marketing perspective, based on international dynamic capability, environmental sustainability and organizational marketing performance in gamification and non-gamification-based organizational culture (OC). This paper deepens the understanding of gamification-based and non-gamification-based OC influence on innovation capability and environmental and organizational marketing performance through the theory of organizational creativity and the theory of administrative behavior (AB). Design/methodology/approach: The authors collect data from firms that abide by the ISO 14091 certifications to ensure the proper quality standards. Primary data from 384 firms are used to test the hypotheses. The results would help firms invest in technological solutions by practicing creativity over time. Additionally, the study helps explore how AB is critical in steering technological creativity for making firms climate-conscious. Findings: The study's findings identified that OC has a positive influence on technological innovation capabilities and environmental innovation capabilities. Technological innovation capabilities have a beneficial impact on environmental sustainability. Environmental sustainability appears to have a substantial correlation with technological innovation skills. Environmental innovation capabilities positively impact environmental sustainability and organizational marketing performance. A moderating effect of gamification on the international dynamic capabilities within a relationship between organizational culture and environmental innovation capabilities exists. Originality/value: The investigation is confined to understanding how gamification-based and non-gamification-based organizational marketing culture affects innovation capability, environmental sustainability and organizational performance through the lens of theory of organizational creativity and theory of AB. © 2023, Emerald Publishing Limited.	International Marketing Review	10.1108/IMR-05-2022-0113	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150646066&doi=10.1108%2fIMR-05-2022-0113&partnerID=40&md5=81630cfc95cdabb02a20ae92c58e9924
