Authors	Code	Title	Year	Method	Decision	Source title	Abstract	DOI	Link
Balderjahn I.; Hoffmann S.; Hüttel A.	BHH_2023	How empowerment and materialism contribute to anti-consumers’ well-being	2023	Survey	Yes	European Journal of Marketing	Purpose: Because steadily growing consumption is not beneficial for nature and climate and is not the same as increasing well-being, an anti-consumerism movement has formed worldwide. The renouncement of dispensable consumption will, however, only establish itself as a significant lifestyle if consumers do not perceive reduced consumption as a personal sacrifice. Since prior research has not yielded a consistent understanding of the relationship between anti-consumption and personal well-being, this paper aims to examine three factors about which theory implies that they may moderate this relationship: decision-control empowerment, market-control empowerment and the value of materialism. Design/methodology/approach: The analysis is based on data from a large-scale, representative online survey (N = 1,398). Structural equation modelling with latent interaction effects is used to test how three moderators (decision-control empowerment, market-control empowerment and materialism) affect the relationship amongst four types of anti-consumption (e.g. voluntary simplicity) and three different well-being states (e.g. subjective well-being). Findings: While both dimensions of empowerment almost always directly promote consumer well-being, significant moderation effects are present in only a few but meaningful cases. Although the materialism value tends to reduce consumers’ well-being, it improves the well-being effect of two anti-consumption styles. Research limitations/implications: Using only one sample from a wealthy country is a limitation of the study. Researchers should replicate the findings in different nations and cultures. Practical implications: Consumer affairs practitioners and commercial marketing for sustainably produced, high-quality and long-lasting goods can benefit greatly from these findings. Social implications: This paper shows that sustainable marketing campaigns can more easily motivate consumers to voluntarily reduce their consumption for the benefit of society and the environment if a high level of market-control empowerment can be communicated to them. Originality/value: This study provides differentiated new insights into the roles of consumer empowerment, i.e. both decision-control empowerment and market-control empowerment, and the value of materialism to frame specific relationships between different anti-consumption types and various well-being states. © 2022, Emerald Publishing Limited.	10.1108/EJM-04-2020-0284	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146227395&doi=10.1108%2fEJM-04-2020-0284&partnerID=40&md5=cd5eddfc29635eec68abd87d03aa4994
Bullard O.; Manchanda R.V.	BM_2013	Do sustainable products make us prevention focused?	2013	Experiments	Yes	Marketing Letters	In recent years, increasing attention is evident with regard to the depletion of natural resources, the development of "green" products and services and the sustainability practices of organisations. Building on Regulatory Focus theory (Higgins, Organ Behav Hum Decis Processes 69(2):117-132, 1997), we examine the difference between a promotion focus for marketing products and services (which emphasises attainment, achievement and advancement) and a prevention focus (which emphasises protection, security and responsibility). The results of three empirical studies show that (1) perceived sustainability practices of a company activate a prevention focus in consumers, (2) consumers make prevention-focused inferences about the products of a sustainable company, and (3) sustainable products are perceived to be better positioned if they are marketed with prevention-framed (vs. promotion-framed) appeals. This suggests that companies with sustainability-oriented practices and product offerings will be more effective if they use prevention-focused appeals in their marketing efforts. Implications for theory and practice are discussed. © 2012 Springer Science+Business Media New York.	10.1007/s11002-012-9221-2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876427350&doi=10.1007%2fs11002-012-9221-2&partnerID=40&md5=d3e903df9b16cbafb08207c36efb01ae
Behl A.; Pereira V.; Jayawardena N.; Nigam A.; Mangla S.	BPJNM_2024	Gamification as an innovation: a tool to improve organizational marketing performance and sustainability of international firms	2024	Field Survey	Yes	International Marketing Review	Purpose: This study aims to investigate an under-researched area, an international marketing perspective, based on international dynamic capability, environmental sustainability and organizational marketing performance in gamification and non-gamification-based organizational culture (OC). This paper deepens the understanding of gamification-based and non-gamification-based OC influence on innovation capability and environmental and organizational marketing performance through the theory of organizational creativity and the theory of administrative behavior (AB). Design/methodology/approach: The authors collect data from firms that abide by the ISO 14091 certifications to ensure the proper quality standards. Primary data from 384 firms are used to test the hypotheses. The results would help firms invest in technological solutions by practicing creativity over time. Additionally, the study helps explore how AB is critical in steering technological creativity for making firms climate-conscious. Findings: The study's findings identified that OC has a positive influence on technological innovation capabilities and environmental innovation capabilities. Technological innovation capabilities have a beneficial impact on environmental sustainability. Environmental sustainability appears to have a substantial correlation with technological innovation skills. Environmental innovation capabilities positively impact environmental sustainability and organizational marketing performance. A moderating effect of gamification on the international dynamic capabilities within a relationship between organizational culture and environmental innovation capabilities exists. Originality/value: The investigation is confined to understanding how gamification-based and non-gamification-based organizational marketing culture affects innovation capability, environmental sustainability and organizational performance through the lens of theory of organizational creativity and theory of AB. © 2023, Emerald Publishing Limited.	10.1108/IMR-05-2022-0113	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150646066&doi=10.1108%2fIMR-05-2022-0113&partnerID=40&md5=81630cfc95cdabb02a20ae92c58e9924
Baker M.A.; Shin J.T.; Kim Y.W.	BSK_2016	An Exploration and Investigation of Edible Insect Consumption: The Impacts of Image and Description on Risk Perceptions and Purchase Intent	2016	Experiments	Yes	Psychology and Marketing	As a result of the dramatic increase in global population, food waste, and unsustainable practices, the United Nations urges the promotion of edible insects as an alternative food source. However, edible insects are perceived as an unappealing, disgusting food source despite the nutritional and sustainable advantages, especially among Westerners. Therefore, research is needed to bridge the gap between the call for examining alternative food sources and the marketing initiatives to improve purchasing behavior. This research draws upon information processing and risk perception theories to investigate reducing consumers' negative perceptions toward edible insect food products. The first study examines the effect of image and description in a retail setting while the second study examines a restaurant setting. Results find that in retail settings image was the most significant in reducing perceptions of risk while in the restaurant setting menu description was most important. In addition, vague descriptions were more preferable to explicit descriptions in minimizing risk and increasing purchase intention. Finally, the research provides meaningful implications for the marketers who endeavor to promote alternative food products as well as any products that involve negative and unfamiliar perceptions. © 2016 Wiley Periodicals, Inc.	10.1002/mar.20847	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954145747&doi=10.1002%2fmar.20847&partnerID=40&md5=9239a06c8deca98884a079781af36d4e
Brough A.R.; Wilkie J.E.B.; Ma J.; Isaac M.S.; Gal D.	BWMIG_2016	The green-feminine stereotype and its effect on sustainable consumption	2016	Experiments	Yes	Journal of Consumer Research	Why are men less likely than women to embrace environmentally friendly products and behaviors? Whereas prior research attributes this gender gap in sustainable consumption to personality differences between the sexes, we propose that it may also partially stem from a prevalent association between green behavior and femininity, and a corresponding stereotype (held by both men and women) that green consumers are more feminine. Building on prior findings that men tend to be more concerned than women with gender-identity maintenance, we argue that this green-feminine stereotype may motivate men to avoid green behaviors in order to preserve a macho image. A series of seven studies provides evidence that the concepts of greenness and femininity are cognitively linked and shows that, accordingly, consumers who engage in green behaviors are stereotyped by others as more feminine and even perceive themselves as more feminine. Further, men's willingness to engage in green behaviors can be influenced by threatening or affirming their masculinity, as well as by using masculine rather than conventional green branding. Together, these findings bridge literatures on identity and environmental sustainability and introduce the notion that due to the green-feminine stereotype, gender identity maintenance can influence men's likelihood of adopting green behaviors. © 2016. Oxford University. All rights reserved.	10.1093/jcr/ucw044	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014725743&doi=10.1093%2fjcr%2fucw044&partnerID=40&md5=e0a1b5d57390bea9e2d02192eb60803a
Chernev A.; Blair S.	CB_2021	When Sustainability is Not a Liability: The Halo Effect of Marketplace Morality	2021	Experiments	Yes	Journal of Consumer Psychology	Prior research has suggested that consumers believe that products made using sustainable, environmentally friendly technologies are likely to underperform those made using traditional methods. We question the robustness of this assumption and identify scenarios in which sustainability is likely to have the opposite effect, strengthening rather than weakening consumers' product performance beliefs. Specifically, we argue that sustainability is likely to produce a halo effect able to attenuate and even override the negative impact of compensatory inferences underlying consumers' belief that sustainability comes at the expense of performance. We propose that this halo effect stems from consumers' view of the company as a moral agent engaged in a prosocial behavior. In this context, we identify two factors that are likely to influence the strength of the halo effect: the degree to which consumers view the company as a moral agent whose actions aim to benefit society and the degree to which moral concerns are prominent in consumers' minds. Following this line of reasoning, we identify two ways in which managers can increase the perceived performance of sustainable products: by associating sustainable benefits with the company rather than with its products and by emphasizing the societal benefits of sustainability. We test these predictions in a series of four empirical studies that show convergent evidence for our theorizing. Our findings have important public policy implications, documenting actionable strategies that managers can use to mitigate the potential negative impact of sustainability and strengthen the perceived performance of sustainable products. © 2020 Society for Consumer Psychology	10.1002/jcpy.1195	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092490083&doi=10.1002%2fjcpy.1195&partnerID=40&md5=63f8095f411ea67b5d16379e3fa0045e
Chernev A.; Blair S.; Böckenholt U.; Mishra H.	CBBM_2024	Is Sustainability a Liability? Green Marketing and Consumer Beliefs About Eco-Friendly Products	2024	Field Survey	Yes	Journal of Public Policy and Marketing	Prior research has suggested that consumers believe sustainable products tend to underperform compared with those made using traditional methods, a phenomenon referred to as the “sustainability liability.” Despite early conceptual justification and evidence supporting this argument, recent research has not attempted to validate this effect and assess its practical relevance. By employing a variety of scenarios adapted from prior studies, the authors quantify the magnitude of the sustainability-liability effect and show that it is relatively small and unlikely to be meaningful. This research also estimates the boundary conditions to identify scenarios in which a significant sustainability-liability effect might occur. Using archival data, the authors demonstrate that the association between sustainability and inferior product performance has decreased over time, explaining the discrepancy between their findings and prior research. These findings have important public policy implications, providing decision makers with empirical evidence that designing and promoting eco-friendly products can benefit society without detracting from the perceived performance of the company's offerings. © American Marketing Association 2024.	10.1177/07439156241264286	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199670987&doi=10.1177%2f07439156241264286&partnerID=40&md5=7d40a4391cc4a5c1632a8692a4b30c8f
Chatterjee S.; Chaudhuri R.; Ferraris A.; Sakka G.; Chaudhuri S.	CCFSC_2023	Implications of dynamic capabilities on triple bottom line performance after the COVID-19 pandemic: An empirical insight from B2B marketing perspective	2023	Field Survey	Yes	Industrial Marketing Management	Triple bottom line (TBL) is a concept of business which highlights that firms should not measure their business success based only on their financial performance, but they should also measure their social and environmental impacts. In other words, the concept of triple bottom line also includes people, planet, and profit. Also, dynamic capabilities help a firm to address rapid environmental changes, and studies have shown that they can improve a firm's sustainability performance. Other studies have shown that TBL initiatives can also improve a firm's sustainability performance. But no studies have investigated how dynamic abilities as well as TBL initiatives could simultaneously impact sustainability performance of B2B firms in the post COVID-19 period. Therefore, the aim of this study is to examine the implications of dynamic capabilities on TBL performance after the COVID-19 pandemic, especially from the B2B marketing perspective. Drawing on dynamic capability view (DCV), TBL theory and the extant literature, a conceptual research model was developed which was subsequently validated with the PLS-SEM technique using 377 responses from different manufacturing and service-oriented firms. This is the first study to extensively analyze the combined impacts of these two dimensions on firms' sustainability performance, and thus it has enriched the literature related to DCV, TBL, and sustainability. © 2023 Elsevier Inc.	10.1016/j.indmarman.2023.10.005	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173429147&doi=10.1016%2fj.indmarman.2023.10.005&partnerID=40&md5=ce3955b385b8641cf81a97ce3f57d5a5
Chen Y.; Ghosh M.; Liu Y.; Zhao L.	CGLZ_2019	Media Coverage of Climate Change and Sustainable Product Consumption: Evidence from the Hybrid Vehicle Market	2019	Field Survey	Yes	Journal of Marketing Research	As sustainable consumption becomes increasingly important, firms must better understand the drivers behind the consumption of these products. This article examines the effects of mass media in the context of the U.S. hybrid vehicle market. Drawing on monthly sales data, the authors provide evidence that the general coverage of climate change or global warming by major media outlets exerts an overall positive impact on the sales of hybrid vehicles. This impact mainly comes from the media reports that assert that climate change is occurring. In contrast, media coverage that either denies climate change or holds a neutral stance on the issue has little impact. The authors provide preliminary evidence that a social norm advocating for environmentally friendly consumption plays an important role in how media coverage affects consumer purchase. They provide implications for theory and practice and call for future research that examines the causal impact of media in general on consumer decisions, especially in domains that are crucial for the society. © American Marketing Association 2019.	10.1177/0022243719865898	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078605800&doi=10.1177%2f0022243719865898&partnerID=40&md5=64756c262a35811f6de9047ae20a7051
Chen W.-F.; Liu J.	CL_2023	When less is more: Understanding consumers' responses to minimalist appeals	2023	Experiments	Yes	Psychology and Marketing	Minimalism, which encourages people to live with fewer possessions, is an emerging theme in marketing communication that often appeals to the sustainable ideal of reducing consumption and waste (e.g., Patagonia's “Buy less” campaign). However, consumers' responses to this marketing approach remain under-researched. We investigate whether consumers' responses to minimalist appeals depend on their socioeconomic status. We find that consumers with lower socioeconomic status report less favorable evaluations of brands that adopt minimalist appeals, because these consumers tend to prefer quantity over quality in daily consumption—a preference that is incongruent with minimalism. This effect is moderated by the considerations of product-usage frequency: even consumers with low socioeconomic status can become more favorable toward minimalist brands if the benefit of minimalism, namely the increased usage of each product, is salient. © 2023 The Authors. Psychology & Marketing published by Wiley Periodicals LLC.	10.1002/mar.21869	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165126290&doi=10.1002%2fmar.21869&partnerID=40&md5=7eab9377c745a5104d7b6a5cd2c01691
