Order,UnitID,CoderID,Title ,TAct_Cons,TVO_Cons_Self,TVO_Cons_Oth,TVO_Cons_Env,TVO_Cons_SP,TAct_Busi,TVO_Busi_Prof,TVO_Busi_Soc,TVO_Busi_Env,TVO_Busi_SP,TAct_Inst,TVO_Inst_Gro,TVO_Inst_Soc,TVO_Inst_Env,TVO_Inst_SP,T_SP,Abstract,AAct_Cons,AVO_Cons_Self,AVO_Cons_Oth,AVO_Cons_Env,AVO_Cons_SP,AAct_Busi,AVO_Busi_Prof,AVO_Busi_Soc,AVO_Busi_Env,AVO_Busi_SP,AAct_Inst,AVO_Ins_Gro,AVO_Ins_Gro2,AVO_Ins_Gro3,AVO_Ins_SP,ASusPo,Intro,IAct_Cons,IVO_Con_Self,IVO_Con_Oth,IVO_Con_Env,IVO_Cons_SP,IAct_Busi,IVO_Bus_Prof,IVO_Bus_Soc ,IVO_Bus_Env,IVO_Bus_SP,IAct_Inst,IVO_Ins_Gro,IVO_Ins_Soc,IVO_Ins_Env,IVO_Ins_SP,ISusPo,Discussion,DAct_Cons,DVO_Con_Self,DVO_Con_Oth,DVO_Con_Env,DVO_Cons_SP ,DAct_Busi,DVO_Busi_Prof,DVO_Busi_Soc,DVO_Busi_Env,DVO_Busi_SP,DAct_Inst,DVO_Ins_Gro,DVO_Ins_Soc,DVO_Ins_Env,DVO_Ins_SP,D_SP,Conclusion,CAct_Cons,CVO_Cons_Self,CVO_Cons_Other,CVO_Cons_Env,CVO_Con_SP,CAct_Busi,CVO_Busi_Prof,CVO_Busi_Soc,CVO_Busi_Env,CVO_Busi_SP,CAct_Inst,CVO_Inst_Grow,CVO_Inst_Soc,CVO_Inst_Env,CVO_Inst_SP,C_SP,Overall,OAct_Cons,OVO_Cons_Self,OVO_Cons_Soc,OVO_Cons_Env,OVO_Cons_SP,Oact_Busi,OVO_Busi_Prof,OVO_Busi_Soc,OVO_Busi_Env,OVO_Busi_SP,Oact_Inst,OVO_Inst_Growth,OVO_Inst_Soc,OVO_Inst_Env,OVO_Inst_SP,O_SP,
42,LNIR_10_2,RG,Title,1,1,0,0,1,0,,,,,0,,,,,2,Abstract,1,1,1,1,2,1,1,1,1,3,0,,,,,3,Introduction,1,1,1,1,2,1,1,1,1,3,0,,,,,3,Discussion,1,1,1,1,2,1,1,1,1,3,0,,,,,3,Conclusion,1,1,1,1,2,0,,,,,0,,,,,3,Overall,1,1,1,1,2,1,1,1,1,3,0,,,,,3,
42,LNIR_10_2,SP,Title,1,1,0,0,1,0,,,,,0,,,,,2,Abstract,1,1,1,1,2,1,1,1,1,3,0,,,,,3,Introduction,1,1,1,1,2,1,1,1,1,3,0,,,,,3,Discussion,1,1,1,1,2,1,1,1,1,3,0,,,,,3,Conclusion,1,1,1,1,2,0,,,,,0,,,,,3,Overall,1,1,1,1,2,1,1,1,1,3,0,,,,,3,
43,KB_15_2,RG,Title,1,1,0,1,0,0,,,,,0,,,,,0,Abstract,1,1,0,1,3,1,0,0,1,3,1,0,0,1,3,3,Introduction,1,1,0,1,3,1,1,0,1,3,1,0,0,1,3,3,Discussion,1,1,0,1,3,1,1,0,1,3,0,,,,,3,Conclusion,1,1,0,1,3,0,,,,,0,,,,,3,Overall,1,1,0,1,3,1,1,0,1,3,0,,,,,3,
43,KB_15_2,SP,Title,1,1,0,1,0,0,,,,,0,,,,,0,Abstract,1,1,0,1,3,1,0,0,1,3,1,0,0,1,3,3,Introduction,1,1,0,1,3,1,1,0,1,3,1,0,0,1,3,3,Discussion,1,1,0,1,3,1,1,0,1,3,0,,,,,3,Conclusion,1,1,0,1,3,0,,,,,0,,,,,3,Overall,1,1,0,1,3,1,1,0,1,3,0,,,,,3,
44,HKRWJ_16_2,RG,Title,0,,,,,1,0,0,1,0,0,,,,,0,Abstract,0,,,,,1,1,0,1,3,0,,,,,4,Introduction,1,1,0,1,2,1,1,0,1,4,1,0,0,1,3,4,Discussion,0,,,,,1,1,0,1,4,0,,,,,4,None,,,,,,,,,,,,,,,,,Overall,0,,,,,1,1,0,1,4,0,,,,,4,
44,HKRWJ_16_2,SP,Title,0,,,,,1,0,0,1,0,0,,,,,0,Abstract,0,,,,,1,1,0,1,3,0,,,,,3,Introduction,1,1,0,1,2,1,1,0,1,3,1,0,0,1,3,3,Discussion,0,,,,,1,1,0,1,3,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,0,,,,,1,1,0,1,3,0,,,,,3,
45,GCCH_16_2,RG,Title,1,1,0,1,2,1,1,0,1,3,0,,,,,3,Abstract,1,1,0,1,3,1,1,1,1,3,0,,,,,3,Introduction,1,1,1,1,3,1,1,0,1,3,0,,,,,3,Discussion,1,1,1,1,3,1,1,0,1,3,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,1,1,3,1,1,0,1,3,0,,,,,3,
45,GCCH_16_2,SP,Title,1,1,0,1,2,1,1,0,1,3,0,,,,,3,Abstract,1,1,0,1,3,1,1,1,1,3,0,,,,,3,Introduction,1,1,1,1,3,1,1,0,1,3,0,,,,,3,Discussion,1,1,1,1,3,1,1,0,1,3,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,1,1,3,1,1,0,1,3,0,,,,,3,
46,ESSMW_18_2,RG,Title,1,0,0,0,0,0,,,,,0,,,,,0,Abstract,1,1,0,1,3,1,1,0,1,3,0,,,,,2,Introduction,1,1,1,1,3,1,1,1,1,3,0,,,,,3,Discussion,1,1,1,1,3,1,1,1,1,3,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,1,1,3,1,1,1,1,3,0,,,,,3,
46,ESSMW_18_2,SP,Title,1,0,0,0,0,0,,,,,0,,,,,0,Abstract,1,1,0,1,3,1,1,0,1,3,0,,,,,2,Introduction,1,1,1,1,3,1,1,1,1,3,0,,,,,3,Discussion,1,1,1,1,3,1,1,1,1,3,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,1,1,3,1,1,1,1,3,0,,,,,3,
47,CB_21_2,RG,Title,0,,,,,1,1,1,1,3,0,,,,,3,Abstract,1,1,1,1,3,1,1,1,1,3,0,,,,,4,Introduction,1,1,1,1,3,1,1,1,1,3,0,,,,,4,Discussion,1,1,1,1,3,1,1,1,1,3,0,,,,,4,None,,,,,,,,,,,,,,,,,Overall,1,1,1,1,3,1,1,1,1,3,0,,,,,4,
47,CB_21_2,SP,Title,0,,,,,1,1,1,1,3,0,,,,,3,Abstract,1,1,1,1,3,1,1,1,1,3,0,,,,,4,Introduction,1,1,1,1,3,1,1,1,1,3,0,,,,,4,Discussion,1,1,1,1,3,1,1,1,1,3,0,,,,,4,None,,,,,,,,,,,,,,,,,Overall,1,1,1,1,3,1,1,1,1,3,0,,,,,4,
48,CGLZ_19_2,RG,Title,1,0,0,0,0,0,,,,,1,0,0,0,0,0,Abstract,1,0,0,1,3,0,,,,,1,0,0,1,3,3,Introduction,1,1,0,1,3,0,,,,,1,0,0,1,3,3,Discussion,1,1,0,1,3,0,,,,,1,0,0,1,3,3,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,3,0,,,,,1,0,0,1,3,3,
48,CGLZ_19_2,SP,Title,1,0,0,0,0,0,,,,,1,0,0,0,0,0,Abstract,1,0,0,1,3,0,,,,,1,0,0,1,3,3,Introduction,1,1,0,1,3,0,,,,,1,0,0,1,3,3,Discussion,1,1,0,1,3,0,,,,,1,0,0,1,3,3,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,3,0,,,,,1,0,0,1,3,3,
49,CW_13_2,RG,Title,1,1,0,1,2,0,,,,,0,,,,,2,Abstract,1,1,0,0,1,0,,,,,0,,,,,2,Introduction,1,1,0,1,2,0,,,,,1,0,0,1,2,2,Discussion,1,1,0,1,2,0,,,,,0,,,,,2,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,2,0,,,,,0,,,,,2,
49,CW_13_2,SP,Title,1,1,0,1,2,0,,,,,0,,,,,2,Abstract,1,1,0,0,1,0,,,,,0,,,,,1,Introduction,1,1,0,1,2,0,,,,,1,0,0,1,2,2,Discussion,1,1,0,1,2,0,,,,,0,,,,,2,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,2,0,,,,,0,,,,,2,
50,FHN_22_2,RG,Title,0,,,,,1,1,1,1,3,0,,,,,0,Abstract,0,,,,,1,1,1,1,3,0,,,,,3,Introduction,0,,,,,1,1,1,1,3,0,,,,,3,Discussion,0,,,,,1,1,1,1,3,0,,,,,4,None,,,,,,,,,,,,,,,,,Overall,0,,,,,1,1,1,1,3,0,,,,,3,
50,FHN_22_2,SP,Title,0,,,,,1,1,1,1,3,0,,,,,0,Abstract,0,,,,,1,1,1,1,3,0,,,,,3,Introduction,0,,,,,1,1,1,1,3,0,,,,,3,Discussion,0,,,,,1,1,1,1,3,0,,,,,4,None,,,,,,,,,,,,,,,,,Overall,0,,,,,1,1,1,1,3,0,,,,,3,
51,BWMIG_16_2,RG,Title,1,1,0,0,2,0,,,,,0,,,,,2,Abstract,1,1,0,1,2,0,,,,,0,,,,,3,Introduction,1,1,0,1,2,0,,,,,0,,,,,2,Discussion,1,1,0,1,2,0,,,,,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,2,0,,,,,0,,,,,3,
51,BWMIG_16_2,SP,Title,1,1,0,0,2,0,,,,,0,,,,,2,Abstract,1,1,0,1,2,0,,,,,0,,,,,3,Introduction,1,1,0,1,2,0,,,,,0,,,,,2,Discussion,1,1,0,1,2,0,,,,,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,2,0,,,,,0,,,,,3,
11,GGDN_18,RG,Title,0,,,,,1,1,0,0,0,1,0,1,1,4,0,Abstract,0,,,,,1,1,0,0,1,1,0,1,1,3,2,Introduction,0,,,,,1,1,0,0,1,1,1,0,1,3,2,Discussion,0,,,,,1,1,0,1,2,1,1,0,1,3,2,None,,,,,,,,,,,,,,,,,Overall,0,,,,,1,1,0,1,2,1,1,0,1,3,2,
11,GGDN_18,SP,Title,0,,,,,1,1,0,0,0,1,0,1,1,4,0,Abstract,0,,,,,1,1,0,0,1,1,0,1,1,3,2,Introduction,0,,,,,1,1,0,0,1,1,1,0,1,3,2,Discussion,0,,,,,1,1,0,1,2,1,1,0,1,3,2,None,,,,,,,,,,,,,,,,,Overall,0,,,,,1,1,0,1,2,1,1,0,1,3,2,
12,GJSGS_21,RG,Title,1,1,0,0,1,0,,,,,0,,,,,3,Abstract,1,1,0,0,1,0,,,,,1,0,1,1,2,3,Introduction,1,1,0,0,1,0,,,,,1,0,1,1,2,3,Discussion,1,1,0,0,1,0,,,,,1,0,1,1,2,4,None,,,,,,,,,,,,,,,,,Overall,1,1,0,0,1,0,,,,,1,0,1,1,2,4,
12,GJSGS_21,SP,Title,1,1,0,0,1,0,,,,,0,,,,,3,Abstract,1,1,0,0,1,0,,,,,1,0,1,1,2,4,Introduction,1,1,0,0,1,0,,,,,1,0,1,1,2,4,Discussion,1,1,0,0,1,0,,,,,1,0,1,1,2,4,None,,,,,,,,,,,,,,,,,Overall,1,1,0,0,1,0,,,,,1,0,1,1,2,4,
13,GPL_22,RG,Title,1,1,0,1,4,0,,,,,0,,,,,3,Abstract,1,1,1,1,4,0,,,,,0,,,,,4,Introduction,1,1,1,1,3,0,,,,,0,,,,,4,Discussion,1,1,0,0,2,1,1,0,0,1,1,1,0,0,1,4,None,,,,,,,,,,,,,,,,,Overall,1,1,0,0,2,1,1,0,0,1,1,1,0,0,1,4,
13,GPL_22,SP,Title,1,1,0,1,4,0,,,,,0,,,,,4,Abstract,1,1,1,1,4,0,,,,,0,,,,,4,Introduction,1,1,1,1,3,0,,,,,0,,,,,4,Discussion,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,4,None,,,,,,,,,,,,,,,,,Overall,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,4,
14,GWS_19,RG,Title,1,0,0,0,0,0,,,,,0,,,,,4,Abstract,1,1,1,1,4,0,,,,,1,1,0,0,1,3,Introduction,1,1,1,1,4,1,1,0,0,1,1,1,0,1,2,3,Discussion,1,1,1,1,4,1,1,0,1,2,1,1,0,0,1,3,None,,,,,,,,,,,,,,,,,Overall,1,1,1,1,4,1,1,0,0,1,1,1,0,1,1,3,
14,GWS_19,SP,Title,1,0,0,0,0,0,,,,,0,,,,,4,Abstract,1,1,1,1,4,0,,,,,1,1,0,0,1,3,Introduction,1,1,1,1,4,1,1,0,0,1,1,1,0,1,2,3,Discussion,1,1,1,1,4,1,1,0,1,2,1,1,0,0,1,3,None,,,,,,,,,,,,,,,,,Overall,1,1,1,1,4,1,1,0,0,1,1,1,0,1,1,3,
15,HWN_14,RG,Title,1,1,0,1,0,1,0,0,1,0,0,,,,,3,Abstract,1,1,0,1,2,0,,,,,0,,,,,2,Introduction,1,1,0,1,2,1,1,0,1,3,0,,,,,2,Discussion,1,1,0,1,2,1,1,0,1,3,0,,,,,2,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,2,0,,,,,0,,,,,2,
15,HWN_14,SP,Title,1,1,0,1,0,1,0,0,1,0,0,,,,,3,Abstract,1,1,0,1,3,0,,,,,0,,,,,3,Introduction,1,1,0,1,2,1,1,0,1,3,0,,,,,3,Discussion,1,1,0,1,2,1,1,0,1,3,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,2,0,,,,,0,,,,,3,
16,HOGS_21,RG,Title,0,,,,,0,,,,,1,1,0,1,3,2,Abstract,1,1,0,0,1,0,,,,,1,0,0,1,3,2,Introduction,1,1,0,1,3,1,1,0,1,3,1,1,0,1,3,2,Discussion,1,1,0,0,1,0,,,,,1,1,0,1,3,2,None,,,,,,,,,,,,,,,,,Overall,1,1,0,0,1,0,,,,,1,1,0,1,3,2,
16,HOGS_21,SP,Title,0,,,,,0,0,0,0,0,1,1,0,1,3,2,Abstract,1,1,0,0,1,0,,,,,1,0,0,1,3,2,Introduction,1,1,0,1,2,1,1,0,1,3,1,1,0,1,3,2,Discussion,1,1,0,0,1,0,,,,,1,1,0,1,3,2,None,,,,,,,,,,,,,,,,,Overall,1,1,0,0,1,0,,,,,1,1,0,1,3,2,
17,IS_16,RG,Title,0,,,,,1,1,1,0,0,0,,,,,3,Abstract,1,1,1,0,2,1,1,1,0,2,0,,,,,2,Introduction,1,1,0,1,3,1,1,0,1,2,0,,,,,2,Discussion,1,1,0,1,2,1,1,0,1,2,0,,,,,2,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,3,1,1,0,1,3,0,,,,,2,
17,IS_16,SP,Title,0,,,,,1,1,1,0,0,0,,,,,3,Abstract,1,1,1,0,2,1,1,1,0,2,0,,,,,2,Introduction,1,1,0,1,3,1,1,0,1,3,0,,,,,2,Discussion,1,1,0,1,2,1,1,0,1,2,0,,,,,2,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,3,1,1,0,1,3,0,,,,,2,
18,KFH_13,RG,Title,0,,,,,0,,,,,0,,,,,3,Abstract,1,1,0,1,3,0,,,,,0,,,,,3,Introduction,1,1,0,0,1,0,,,,,0,,,,,3,Discussion,1,1,0,1,3,0,,,,,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,3,0,,,,,0,,,,,3,
18,KFH_13,SP,Title,0,,,,,0,,,,,0,,,,,3,Abstract,1,1,0,1,2,0,,,,,0,,,,,3,Introduction,1,1,0,0,1,0,,,,,0,,,,,3,Discussion,1,1,0,1,2,0,,,,,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,1,1,0,1,2,0,,,,,0,,,,,3,
19,KLZ_16,RG,Title,0,,,,,1,0,0,1,0,0,,,,,0,Abstract,0,,,,,1,1,0,1,3,0,,,,,3,Introduction,0,,,,,1,1,0,1,3,0,,,,,3,Discussion,0,,,,,1,1,0,1,3,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,0,,,,,1,1,0,1,3,0,,,,,3,
19,KLZ_16,SP,Title,0,,,,,1,0,0,1,0,0,,,,,0,Abstract,0,,,,,1,1,0,1,3,0,,,,,3,Introduction,0,,,,,1,1,0,1,3,0,,,,,3,Discussion,0,,,,,1,1,0,1,3,0,,,,,3,None,,,,,,,,,,,,,,,,,Overall,0,,,,,1,1,0,1,3,0,,,,,3,
20,LKM_13,RG,Title,0,,,,,1,0,0,0,0,0,,,,,0,Abstract,0,,,,,1,1,0,1,3,0,,,,,3,Introduction,0,,,,,1,1,0,1,2,0,,,,,3,Discussion,0,,,,,1,1,0,1,2,0,,,,,3,Conclusion,0,,,,,1,1,0,1,2,0,,,,,3,Overall,0,,,,,1,1,0,1,2,0,,,,,3,
