Code,Source title,Are Consumers addressed as Actors in this research?,Are Consumers Self-Oriented in this article?,Are Consumers Societally-Oriented in this article?,Are Consumers Environmentally-Oriented in this article?,Are Businesses addressed as Actors in this research?,Are Businesses Profit-Oriented in this article?,Are Businesses Societally-Oriented in this article?,Are Businesses Environmentally-Oriented in this article?,Are Institutions addressed as Actors in this research?,Are Institutions Growth-Oriented in this article?,Are Institutions Societally-Oriented in this article?,Are Institutions Environmentally-Oriented in this article?,What is the Scope of Sustainability in this article?
ACMM_2024,Industrial Marketing Management,No,,,,Yes,Yes,No,Yes,No,,,,4
ADD_2021,Psychology and Marketing,Yes,Yes,No,No,No,,,,No,,,,1
ADPG_2020,International Journal of Research in Marketing,Yes,Yes,No,No,No,,,,No,,,,1
ADPJ_2021,International Marketing Review,Yes,Yes,Yes,Yes,No,,,,No,,,,3
ALV_2023,European Journal of Marketing,Yes,Yes,No,Yes,No,,,,Yes,Yes,Yes,Yes,4
AM_2014,Psychology and Marketing,Yes,Yes,Yes,Yes,No,,,,No,,,,3
BD_2018,Marketing Letters,Yes,Yes,No,No,No,,,,No,,,,4
BM_2015,Journal of Retailing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,3
BMO_2022,Psychology and Marketing,Yes,Yes,No,Yes,No,,,,No,,,,2
BPJNM_2024,International Marketing Review,No,,,,Yes,Yes,No,Yes,No,,,,3
BSC_2024,International Marketing Review,Yes,Yes,No,No,No,,,,No,,,,2
CC_2014,European Journal of Marketing,Yes,Yes,No,No,No,,,,No,,,,2
CCS_2022,Psychology and Marketing,Yes,No,No,Yes,No,,,,No,,,,3
CG_2019,Journal of Public Policy and Marketing,Yes,Yes,No,Yes,No,,,,No,,,,3
CGGN_2024,Psychology and Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,3
CJM_2021,Journal of Retailing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,3
CL_2023,Industrial Marketing Management,No,,,,Yes,Yes,No,Yes,No,,,,3
