Code,Source title,Are Consumers addressed as Actors in this research?,Are Consumers Self-Oriented in this article?,Are Consumers Societally-Oriented in this article?,Are Consumers Environmentally-Oriented in this article?,Are Businesses addressed as Actors in this research?,Are Businesses Profit-Oriented in this article?,Are Businesses Societally-Oriented in this article?,Are Businesses Environmentally-Oriented in this article?,Are Institutions addressed as Actors in this research?,Are Institutions Growth-Oriented in this article?,Are Institutions Societally-Oriented in this article?,Are Institutions Environmentally-Oriented in this article?,What is the Scope of Sustainability in this article?
BHH_2022,European Journal of Marketing,Yes,Yes,Yes,Yes,No,,,,No,,,,4
BM_2012,Marketing Letters,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,,,3
BPJNM_2023,International Marketing Review,No,,,,Yes,Yes,No,Yes,No,,,,2
BSK_2016,Psychology and Marketing,Yes,Yes,No,No,No,,,,No,,,,3
BWMIG_2016,Journal of Consumer Research,Yes,Yes,No,No,No,,,,No,,,,3
CB_2020,Journal of Consumer Psychology,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,4
CBBM_2024,Journal of Public Policy and Marketing,Yes,Yes,No,No,No,,,,No,,,,4
CCFSC_2023,Industrial Marketing Management,No,,,,Yes,Yes,Yes,Yes,No,,,,3
CGLZ_2019,Journal of Marketing Research,No,,,,No,,,,Yes,No,No,Yes,3
CL_2023,Psychology and Marketing,Yes,Yes,No,No,No,,,,No,,,,3
CP_2014,Journal of Public Policy and Marketing,Yes,Yes,Yes,Yes,No,,,,No,,,,2
CPWD_2008,International Journal of Research in Marketing,Yes,Yes,No,Yes,No,,,,No,,,,3
CSK_2007,Psychology and Marketing,Yes,Yes,No,Yes,No,,,,No,,,,3
CY_2022,Industrial Marketing Management,No,,,,Yes,Yes,No,No,No,,,,2
DM_2021,International Journal of Research in Marketing,Yes,Yes,No,No,No,,,,No,,,,2
FHN_2022,Journal of the Academy of Marketing Science,No,,,,Yes,Yes,No,No,No,,,,3
GB_2017,Journal of Public Policy and Marketing,Yes,Yes,No,Yes,No,,,,No,,,,4
GCCH_2016,Journal of Marketing,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,,,4
GMGG_2014,Marketing Letters,No,,,,Yes,Yes,No,No,No,,,,2
HNS_2012,European Journal of Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,4
HRSBC_2012,Psychology and Marketing,Yes,Yes,No,No,No,,,,Yes,No,No,Yes,4
HTL_2021,Journal of Consumer Psychology,Yes,Yes,No,Yes,No,,,,No,,,,3
HWN_2014,Industrial Marketing Management,Yes,Yes,No,Yes,No,,,,No,,,,3
JBD_2024,European Journal of Marketing,No,,,,Yes,Yes,No,Yes,No,,,,3
JPCGZ_2023,Journal of Marketing,Yes,No,No,Yes,Yes,Yes,No,Yes,No,,,,4
KB_2015,European Journal of Marketing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,,,4
KBJ_2022,Journal of Marketing,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,,,4
KJVL_2011,Psychology and Marketing,No,,,,Yes,Yes,No,No,No,,,,1
KM_2023,Psychology and Marketing,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,,,3
KPS_2022,Psychology and Marketing,Yes,Yes,Yes,No,No,,,,No,,,,2
LG_2021,Psychology and Marketing,Yes,Yes,No,Yes,No,,,,No,,,,3
LGZ_2024,Journal of the Academy of Marketing Science,Yes,Yes,No,Yes,No,,,,No,,,,4
LKM_2013,Journal of the Academy of Marketing Science,No,,,,Yes,Yes,No,Yes,No,,,,3
LNIR_2010,Journal of Marketing,Yes,Yes,No,No,No,,,,No,,,,3
MFMS_2023,Psychology and Marketing,Yes,Yes,No,No,No,,,,No,,,,2
MHFT_2013,Marketing Letters,Yes,Yes,Yes,Yes,No,,,,No,,,,2
MI_2020,Psychology and Marketing,Yes,Yes,Yes,Yes,No,,,,No,,,,3
MLOKK_2012,Journal of Advertising,Yes,Yes,No,Yes,No,,,,No,,,,4
MMRI_2021,European Journal of Marketing,Yes,Yes,No,Yes,No,,,,Yes,Yes,No,Yes,4
O_2013,Journal of the Academy of Marketing Science,Yes,Yes,No,Yes,No,,,,No,,,,3
OBCLZ_2015,European Journal of Marketing,No,,,,Yes,Yes,Yes,Yes,No,,,,3
PDRBA_2023,Journal of Retailing,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,,,4
PH_2012,Journal of Public Policy and Marketing,Yes,Yes,No,Yes,No,,,,Yes,No,No,Yes,4
PP_2023,Psychology and Marketing,Yes,No,No,Yes,No,,,,No,,,,3
PTBG_2024,Journal of Retailing,Yes,Yes,No,No,No,,,,Yes,Yes,Yes,Yes,2
PWS_2013,Journal of Marketing,Yes,Yes,No,No,No,,,,No,,,,3
RHEF_2024,Journal of the Academy of Marketing Science,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,,,4
RK_2017,European Journal of Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,3
RWDCL_2019,Psychology and Marketing,Yes,Yes,No,No,No,,,,No,,,,3
SBHA_2023,Journal of the Academy of Marketing Science,No,,,,Yes,Yes,No,Yes,No,,,,2
SBP_2021,Journal of Marketing,Yes,Yes,No,No,No,,,,No,,,,3
SC_2013,International Journal of Research in Marketing,Yes,Yes,No,Yes,No,,,,No,,,,4
SHLT_2022,Journal of Advertising,Yes,Yes,No,Yes,No,,,,No,,,,3
SKD_2023,Journal of Consumer Research,Yes,No,No,Yes,No,,,,No,,,,3
