Unit	Act_Cons	VO_Cons_Self	VO_Cons_Soc	VO_Cons_Env	Act_Busi	VO_Busi_Prof	VO_Busi_Soc	VO_Busi_Env	Act_Inst	VO_Inst_Gro	VO_Inst_Soc	VO_Inst_Env	SP
BHH_2022	1	1	1	1	0				0				4
BM_2012	1	1	0	0	1	1	0	1	0				4
BPJNM_2023	0				1	1	0	1	0				4
BSK_2016	1	1	0	0	0				0				3
BWMIG_2016	1	1	0	0	0				0				3
CB_2020	1	1	1	1	1	1	0	0	0				4
CBBM_2024	1	1	0	0	0				0				4
CCFSC_2023	0				1	1	1	1	0				3
CGLZ_2019	0				0				1	0	0	1	3
CL_2023	1	1	0	0	0				0				3
CP_2014	1	1	1	1	0				0				2
CPWD_2008	1	1	0	1	0				0				3
CSK_2007	1	1	0	1	0				0				3
CY_2022	0				1	1	0	0	0				2
DM_2021	1	1	0	0	0				0				2
FHN_2022	0				1	1	0	0	0				3
GB_2017	1	1	0	1	0				0				4
GCCH_2016	1	1	1	0	1	1	0	1	0				4
GMGG_2014	0				1	1	0	0	0				2
HNS_2012	1	1	1	1	1	1	1	1	0				4
HRSBC_2012	1	1	0	0	0				1	0	0	1	4
HTL_2021	1	1	0	1	0				0				3
HWN_2014	1	1	0	1	0				0				3
JBD_2024	0				1	1	0	1	0				3
JPCGZ_2023	1	0	0	1	1	1	0	1	0				4
KB_2015	1	1	1	1	1	0	0	1	0				4
KBJ_2022	1	1	0	1	1	1	0	1	0				4
KJVL_2011	0				1	1	0	0	0				1
KM_2023	1	1	0	1	1	1	0	1	0				2
KPS_2022	1	1	1	0	0				0				2
LG_2021	1	1	0	1	0				0				3
LGZ_2024	1	1	0	1	0				0				4
LKM_2013	0				1	1	0	1	0				3
LNIR_2010	1	1	0	0	0				0				3
MFMS_2023	1	1	0	0	0				0				2
MHFT_2013	1	1	1	1	0				0				2
MI_2020	1	1	1	1	0				0				3
MLOKK_2012	1	1	0	1	0				0				4
MMRI_2021	1	1	0	1	0				1	1	0	1	4
O_2013	1	1	0	1	0				0				3
OBCLZ_2015	0				1	1	1	1	0				3
PDRBA_2023	1	1	0	0	1	1	0	1	0				4
PH_2012	1	1	0	1	0				1	0	0	1	4
PP_2023	1	0	0	1	0				0				3
PTBG_2024	1	1	0	0	0				1	1	1	1	2
PWS_2013	1	1	0	0	0				0				3
RHEF_2024	1	1	0	0	1	1	0	1	0				4
RK_2017	1	1	1	1	1	1	1	1	0				3
RWDCL_2019	1	1	0	0	0				0				3
