Order,UnitID,CoderID,TVO_Cons_SP,TVO_Busi_SP,TVO_Inst_SP,T_SP,AVO_Cons_SP,AVO_Busi_SP,AVO_Ins_SP,ASusPo,IVO_Cons_SP,IVO_Bus_SP,IVO_Ins_SP,ISusPo,DVO_Cons_SP,DVO_Busi_SP,DVO_Ins_SP,D_SP,CVO_Con_SP,CVO_Busi_SP,CVO_Inst_SP,C_SP,OVO_Cons_Self,OVO_Cons_Soc,OVO_Cons_Env,OVO_Cons_SP,OVO_Busi_Prof,OVO_Busi_Soc,OVO_Busi_Env,OVO_Busi_SP,OVO_Inst_Growth,OVO_Inst_Soc,OVO_Inst_Env,OVO_Inst_SP,O_SP
42,LNIR_10_2,RG,1,,,2,2,3,,3,2,3,,3,2,3,,3,2,,,3,1,1,1,2,1,1,1,3,,,,,3
42,LNIR_10_2,SP,1,,,2,2,3,,3,2,3,,3,2,3,,3,2,,,3,1,1,1,2,1,1,1,3,,,,,3
43,KB_15_2,RG,0,,,0,3,3,3,3,3,3,3,3,3,3,,3,3,,,3,1,0,1,3,1,0,1,3,,,,,3
43,KB_15_2,SP,0,,,0,3,3,3,3,3,3,3,3,3,3,,3,3,,,3,1,0,1,3,1,0,1,3,,,,,3
44,HKRWJ_16_2,RG,,0,,0,,3,,4,2,4,3,4,,4,,4,,,,,,,,,1,0,1,4,,,,,4
44,HKRWJ_16_2,SP,,0,,0,,3,,3,2,3,3,3,,3,,3,,,,,,,,,1,0,1,3,,,,,3
45,GCCH_16_2,RG,2,3,,3,3,3,,3,3,3,,3,3,3,,3,,,,,1,1,1,3,1,0,1,3,,,,,3
45,GCCH_16_2,SP,2,3,,3,3,3,,3,3,3,,3,3,3,,3,,,,,1,1,1,3,1,0,1,3,,,,,3
46,ESSMW_18_2,RG,0,,,0,3,3,,2,3,3,,3,3,3,,3,,,,,1,1,1,3,1,1,1,3,,,,,3
46,ESSMW_18_2,SP,0,,,0,3,3,,2,3,3,,3,3,3,,3,,,,,1,1,1,3,1,1,1,3,,,,,3
47,CB_21_2,RG,,3,,3,3,3,,4,3,3,,4,3,3,,4,,,,,1,1,1,3,1,1,1,3,,,,,4
47,CB_21_2,SP,,3,,3,3,3,,4,3,3,,4,3,3,,4,,,,,1,1,1,3,1,1,1,3,,,,,4
48,CGLZ_19_2,RG,0,,0,0,3,,3,3,3,,3,3,3,,3,3,,,,,1,0,1,3,,,,,0,0,1,3,3
48,CGLZ_19_2,SP,0,,0,0,3,,3,3,3,,3,3,3,,3,3,,,,,1,0,1,3,,,,,0,0,1,3,3
49,CW_13_2,RG,2,,,2,1,,,2,2,,2,2,2,,,2,,,,,1,0,1,2,,,,,,,,,2
